Rk,Player,Nation,Pos,Squad,Age,Born,90s?,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
286,Solly March,eng ENG,"DF,FW",Brighton,25,1994,12.7,0,21,8,38.1,1.65,0.63,0,0,18.5,1,0,0,1.4,1.4,0.07,-1.4,-1.4
287,Dennis Praet,be BEL,MF,Leicester City,25,1994,12.6,1,16,3,18.8,1.27,0.24,0.06,0.33,18.6,0,0,0,1.4,1.4,0.08,-0.4,-0.4
288,Tom Trybull,de GER,MF,Norwich City,26,1993,12.6,0,11,2,18.2,0.88,0.16,0,0,17.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4
289,John Stones,eng ENG,DF,Manchester City,25,1994,12.5,0,6,1,16.7,0.48,0.08,0,0,7.9,0,0,0,0.6,0.6,0.1,-0.6,-0.6
290,Che Adams,sct SCO,FW,Southampton,23,1996,12.3,4,37,9,24.3,3,0.73,0.11,0.44,15.2,0,0,0,4,4,0.11,0,0
291,Ross Barkley,eng ENG,MF,Chelsea,25,1993,12.3,1,40,12,30,3.26,0.98,0.03,0.08,21.9,4,0,0,2.2,2.2,0.05,-1.2,-1.2
292,Calum Chambers,eng ENG,DF,Arsenal,24,1995,12.2,1,12,2,16.7,0.98,0.16,0.08,0.5,11.6,0,0,0,0.7,0.7,0.06,0.3,0.3
293,Christian Eriksen,dk DEN,"MF,FW",Tottenham,27,1992,12.2,2,26,9,34.6,2.13,0.74,0.08,0.22,24.2,7,0,0,1.9,1.9,0.07,0.1,0.1
294,Aymeric Laporte,es ESP,DF,Manchester City,25,1994,12.2,1,4,1,25,0.33,0.08,0.25,1,16.4,0,0,0,0.3,0.3,0.08,0.7,0.7
295,Neil Taylor,wls WAL,DF,Aston Villa,30,1989,12.1,0,3,0,0,0.25,0,0,,15.1,0,0,0,0.3,0.3,0.1,-0.3,-0.3
296,Pepe Reina,es ESP,GK,Aston Villa,36,1982,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
